daerah,harga,kamar_tidur,kamar_mandi,luas_tanah_m²,luas_bangunan_m²
"Balikpapan Kota,","1,90M",4,4,287,125
"Balikpapan Timur,",760Jt,2,1,119,89
"Balikpapan Utara,",900Jt,2,2,150,110
"Balikpapan Selatan,",730Jt,3,2,175,75
"Balikpapan Barat,",570Jt,2,1,200,61
"Balikpapan Selatan,",800Jt,3,2,145,120
"Balikpapan Kota,","1,20M",4,4,150,120
"Balikpapan Selatan,",980Jt,2,1,102,100
"Balikpapan Utara,","1,55M",3,2,150,145
"Balikpapan Selatan,","6,50M",4,3,363,270
"Balikpapan Selatan,",850Jt,3,4,72,90
"Balikpapan Selatan,","3,50M",3,2,180,90
"Balikpapan Selatan,","2,50M",2,2,180,90
"Balikpapan Selatan,",Rp 2M,3,2,102,70
"Balikpapan Utara,",600Jt,3,2,105,70
"Balikpapan Selatan,","2,10M",4,3,180,180
"Balikpapan Selatan,","3,80M",4,3,220,250
"Balikpapan Selatan,","1,30M",3,2,165,80
"Balikpapan Utara,",Rp 2M,4,3,117,150
"Balikpapan Utara,","3,50M",3,4,252,117
"Balikpapan Selatan,",Rp 2M,3,2,216,150
"Balikpapan Utara,","4,80M",5,4,396,400
"Balikpapan Selatan,","1,30M",2,1,131,57
"Balikpapan Utara,","1,70M",3,2,154,150
"Balikpapan Utara,","1,70M",3,3,90,114
"Balikpapan Utara,",830Jt,3,2,72,66
"Balikpapan Timur,",930Jt,3,2,120,100
"Balikpapan Kota,",Rp 5M,4,3,585,250
"Balikpapan Utara,",820Jt,3,2,72,66
"Balikpapan Selatan,","8,50M",4,6,190,380
"Balikpapan Selatan,",650Jt,2,2,120,52
"Balikpapan Selatan,",Rp 11M,8,6,358,458
"Balikpapan Utara,","4,50M",5,4,350,450
"Balikpapan Selatan,",680Jt,2,1,72,40
"Balikpapan Selatan,",Rp 7M,5,4,395,200
"Balikpapan Utara,","3,50M",3,4,252,117
"Balikpapan Selatan,",675Jt,3,2,120,100
"Balikpapan Selatan,","2,30M",5,4,300,5
"Balikpapan Selatan,","1,90M",3,4,112,144
"Balikpapan Selatan,","1,20M",2,2,90,72
"Balikpapan Kota,",800Jt,2,2,153,75
"Balikpapan Kota,",850Jt,3,2,331,102
"Balikpapan Selatan,",Rp 3M,3,2,276,150
"Balikpapan Timur,","1,20M",2,2,162,70
"Balikpapan Timur,","1,60M",3,3,98,140
"Balikpapan Selatan,","4,50M",3,3,465,265
"Balikpapan Tengah,",695Jt,2,1,200,65
"Balikpapan Utara,",700Jt,4,2,149,100
"Balikpapan Selatan,","2,70M",4,2,332,120
"Balikpapan Selatan,",850Jt,2,2,60,120
"Balikpapan Selatan,","3,60M",4,4,280,225
"Balikpapan Selatan,","2,15M",3,3,126,88
"Balikpapan Utara,","1,60M",5,4,180,220
"Balikpapan Selatan,","3,80M",4,4,280,225
"Balikpapan Selatan,",Rp 5M,4,2,330,200
"Balikpapan Selatan,",Rp 1M,4,2,127,107
"Balikpapan Selatan,","1,90M",4,2,180,150
"Balikpapan Selatan,","2,50M",3,3,222,160
"Balikpapan Selatan,","3,40M",5,4,190,250
"Balikpapan Selatan,","2,75M",3,2,95,160
"Balikpapan Timur,",600Jt,2,1,60,30
"Balikpapan Utara,",550Jt,3,3,77,90
"Balikpapan Selatan,","4,50M",3,3,490,330
"Balikpapan Selatan,","2,10M",4,4,204,250
"Balikpapan Timur,","1,20M",5,3,285,106
"Balikpapan Selatan,","2,50M",2,2,300,70
"Balikpapan Selatan,",875Jt,4,2,117,85
"Balikpapan Timur,","1,30M",3,3,140,98
"Balikpapan Utara,",950Jt,3,2,163,100
"Balikpapan Utara,","1,40M",5,4,180,220
"Balikpapan Utara,","1,60M",3,3,91,175
"Balikpapan Utara,","1,70M",2,1,112,56
"Balikpapan Selatan,","2,60M",5,3,300,200
"Balikpapan Selatan,",Rp 17M,5,4,660,770
"Balikpapan Selatan,","2,50M",3,2,300,140
"Balikpapan Kota,","1,60M",4,3,248,182
"Balikpapan Timur,","1,60M",6,4,200,183
"Balikpapan Timur,",880Jt,2,2,156,72
"Balikpapan Timur,","1,20M",3,2,105,91
"Balikpapan Timur,","1,50M",3,2,135,85
"Balikpapan Selatan,","2,80M",3,2,126,135
"Balikpapan Selatan,","2,25M",3,3,120,150
"Balikpapan Utara,","3,40M",5,4,190,300
"Balikpapan Kota,","2,20M",4,4,350,250
"Balikpapan Selatan,","2,50M",4,3,340,200
"Balikpapan Kota,",Rp 15M,67,6,660,750
"Balikpapan Selatan,","2,90M",4,2,220,200
"Balikpapan Selatan,","1,60M",3,3,135,200
"Balikpapan Selatan,","2,55M",4,3,165,250
"Balikpapan Utara,","3,50M",10,6,418,600
"Balikpapan Selatan,","3,50M",4,4,246,300
"Balikpapan Utara,",455Jt,2,1,97,39
"Balikpapan Tengah,",895Jt,4,2,325,240
"Balikpapan Selatan,","2,50M",4,3,419,250
"Balikpapan Utara,",385Jt,2,1,80,45
"Balikpapan Utara,",495Jt,2,1,110,42
"Balikpapan Utara,",550Jt,3,1,120,50
"Balikpapan Utara,","1,10M",2,2,450,114
"Balikpapan Utara,",275Jt,2,1,121,36
"Balikpapan Utara,","1,50M",4,3,170,120
"Balikpapan Utara,",430Jt,2,1,87,36
"Balikpapan Utara,",395Jt,3,1,120,50
"Balikpapan Utara,",500Jt,2,1,78,45
"Balikpapan Selatan,",500Jt,2,1,78,45
"Balikpapan Utara,",395Jt,2,1,96,36
"Balikpapan Selatan,","2,50M",11,10,375,260
"Balikpapan Selatan,","459,25Jt",2,1,102,36
"Balikpapan Utara,","383,68Jt",2,1,107,36
"Balikpapan Selatan,",690Jt,3,2,90,75
"Balikpapan Utara,",475Jt,2,1,120,45
"Balikpapan Timur,",385Jt,2,1,84,36
"Balikpapan Utara,",250Jt,2,1,160,36
"Balikpapan Selatan,",650Jt,2,1,119,119
"Balikpapan Selatan,","2,70M",4,3,180,210
"Balikpapan Selatan,","4,20M",3,4,550,550
"Balikpapan Selatan,","1,60M",3,2,216,100
"Balikpapan Tengah,",Rp 2M,3,2,763,280
"Balikpapan Selatan,",950Jt,3,2,150,120
"Balikpapan Kota,","1,50M",3,2,462,235
"Balikpapan Selatan,","1,10M",2,2,90,90
"Balikpapan Selatan,","3,30M",4,3,147,240
"Balikpapan Selatan,","1,15M",2,2,78,47
"Balikpapan Selatan,",950Jt,3,2,127,120
